bit_index,grid_row,grid_col,pixel_y,pixel_x,sample_value,threshold,bit
179,8,18,40,984,39.0,30.19415839130547,1
180,8,19,40,1036,33.0,30.19415839130547,1
181,8,20,40,1088,14.0,30.19415839130547,0
182,8,21,40,1140,30.0,30.19415839130547,0
183,8,22,40,1192,16.0,30.19415839130547,0
184,9,0,45,48,42.0,30.19415839130547,1
185,9,1,45,100,18.0,30.19415839130547,0
186,9,2,45,152,28.0,30.19415839130547,0
187,9,3,45,204,21.0,30.19415839130547,0
188,9,4,45,256,26.0,30.19415839130547,0
189,9,5,45,308,18.0,30.19415839130547,0
190,9,6,45,360,22.0,30.19415839130547,0
191,9,7,45,412,26.0,30.19415839130547,0
192,9,8,45,464,30.0,30.19415839130547,0
193,9,9,45,516,40.0,30.19415839130547,1
194,9,10,45,568,68.0,30.19415839130547,1
195,9,11,45,620,46.0,30.19415839130547,1
196,9,12,45,672,74.0,30.19415839130547,1
197,9,13,45,724,58.0,30.19415839130547,1
198,9,14,45,776,52.0,30.19415839130547,1
199,9,15,45,828,36.0,30.19415839130547,1
200,9,16,45,880,28.0,30.19415839130547,0
201,9,17,45,932,28.0,30.19415839130547,0
202,9,18,45,984,38.0,30.19415839130547,1
203,9,19,45,1036,22.0,30.19415839130547,0
204,9,20,45,1088,19.0,30.19415839130547,0
205,9,21,45,1140,28.0,30.19415839130547,0
206,9,22,45,1192,11.0,30.19415839130547,0
207,10,0,50,48,18.0,30.19415839130547,0
208,10,1,50,100,14.0,30.19415839130547,0
209,10,2,50,152,15.0,30.19415839130547,0
210,10,3,50,204,15.0,30.19415839130547,0
211,10,4,50,256,17.0,30.19415839130547,0
212,10,5,50,308,17.0,30.19415839130547,0
213,10,6,50,360,20.0,30.19415839130547,0
214,10,7,50,412,24.0,30.19415839130547,0
215,10,8,50,464,29.0,30.19415839130547,0
216,10,9,50,516,33.0,30.19415839130547,1
217,10,10,50,568,52.0,30.19415839130547,1
218,10,11,50,620,35.0,30.19415839130547,1
219,10,12,50,672,36.0,30.19415839130547,1
220,10,13,50,724,38.0,30.19415839130547,1
221,10,14,50,776,27.0,30.19415839130547,0
222,10,15,50,828,64.0,30.19415839130547,1
223,10,16,50,880,34.0,30.19415839130547,1
224,10,17,50,932,38.0,30.19415839130547,1
225,10,18,50,984,18.0,30.19415839130547,0
226,10,19,50,1036,40.0,30.19415839130547,1
227,10,20,50,1088,12.0,30.19415839130547,0
228,10,21,50,1140,13.0,30.19415839130547,0
229,10,22,50,1192,7.0,30.19415839130547,0
230,11,0,55,48,13.0,30.19415839130547,0
231,11,1,55,100,12.0,30.19415839130547,0
232,11,2,55,152,13.0,30.19415839130547,0
233,11,3,55,204,14.0,30.19415839130547,0
234,11,4,55,256,15.0,30.19415839130547,0
235,11,5,55,308,18.0,30.19415839130547,0
236,11,6,55,360,20.0,30.19415839130547,0
237,11,7,55,412,25.0,30.19415839130547,0
238,11,8,55,464,29.0,30.19415839130547,0
239,11,9,55,516,32.0,30.19415839130547,1
240,11,10,55,568,34.0,30.19415839130547,1
241,11,11,55,620,32.0,30.19415839130547,1
242,11,12,55,672,30.0,30.19415839130547,0
243,11,13,55,724,29.0,30.19415839130547,0
244,11,14,55,776,25.0,30.19415839130547,0
245,11,15,55,828,22.0,30.19415839130547,0
246,11,16,55,880,18.0,30.19415839130547,0
247,11,17,55,932,15.0,30.19415839130547,0
