row,col,bit
15,20,overlay
15,21,1
15,22,0
15,23,1
15,24,0
15,25,overlay
15,26,overlay
15,27,1
15,28,1
15,29,blank
15,30,blank
15,31,1
15,32,1
15,33,0
15,34,0
15,35,blank
15,36,blank
15,37,blank
15,38,0
15,39,blank
15,40,0
15,41,0
15,42,0
15,43,0
15,44,blank
15,45,1
15,46,blank
15,47,blank
15,48,blank
16,0,blank
16,1,blank
16,2,blank
16,3,blank
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,overlay
16,19,1
16,20,overlay
16,21,1
16,22,0
16,23,1
16,24,0
16,25,1
16,26,1
16,27,1
16,28,1
16,29,1
16,30,1
16,31,1
16,32,1
16,33,0
16,34,blank
16,35,0
16,36,0
16,37,0
16,38,0
16,39,0
16,40,0
16,41,0
16,42,blank
16,43,blank
16,44,1
16,45,0
16,46,0
16,47,0
16,48,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,0
17,13,1
17,14,1
17,15,1
17,16,blank
17,17,1
17,18,overlay
17,19,1
17,20,overlay
17,21,1
17,22,overlay
17,23,1
17,24,0
17,25,1
17,26,1
17,27,1
17,28,1
17,29,1
17,30,1
17,31,1
17,32,1
17,33,0
17,34,0
17,35,0
17,36,0
17,37,0
17,38,0
17,39,0
17,40,0
17,41,0
17,42,0
17,43,0
17,44,1
17,45,0
17,46,blank
17,47,0
17,48,0
18,0,0
18,1,blank
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,1
18,14,1
18,15,1
18,16,1
18,17,1
18,18,overlay
18,19,overlay
18,20,overlay
18,21,1
18,22,overlay
18,23,1
18,24,0
18,25,blank
18,26,blank
18,27,1
18,28,1
18,29,1
18,30,1
18,31,1
18,32,1
18,33,0
18,34,0
18,35,0
18,36,0
18,37,0
18,38,0
18,39,0
18,40,0
18,41,0
18,42,0
18,43,blank
18,44,blank
18,45,0
18,46,blank
18,47,blank
18,48,blank
19,0,blank
19,1,blank
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,1
19,11,1
19,12,1
19,13,1
19,14,1
19,15,1
19,16,1
19,17,1
19,18,overlay
19,19,1
19,20,overlay
19,21,1
19,22,overlay
19,23,1
19,24,0
19,25,1
19,26,1
19,27,1
19,28,1
19,29,1
19,30,1
19,31,1
19,32,1
19,33,0
19,34,0
19,35,0
19,36,0
19,37,0
19,38,0
19,39,0
19,40,0
19,41,0
19,42,0
19,43,0
19,44,blank
19,45,0
19,46,blank
19,47,0
19,48,0
20,0,blank
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
20,15,1
20,16,1
20,17,1
20,18,overlay
20,19,1
20,20,overlay
20,21,1
20,22,overlay
20,23,1
20,24,0
20,25,1
20,26,1
20,27,1
20,28,1
20,29,1
20,30,1
20,31,1
20,32,1
20,33,0
20,34,0
20,35,0
20,36,0
20,37,0
20,38,0
20,39,0
20,40,0
20,41,0
20,42,0
20,43,0
20,44,blank
20,45,blank
20,46,blank
20,47,0
20,48,0
21,0,0
21,1,0
21,2,blank
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,blank
21,11,1
21,12,1
21,13,1
21,14,1
21,15,1
21,16,0
21,17,overlay
21,18,overlay
21,19,1
21,20,overlay
21,21,1
21,22,overlay
21,23,overlay
21,24,overlay
21,25,1
21,26,1
21,27,1
21,28,1
21,29,blank
21,30,blank
21,31,1
21,32,1
21,33,overlay
21,34,0
21,35,0
21,36,0
21,37,1
21,38,1
21,39,1
21,40,blank
21,41,0
21,42,blank
21,43,blank
21,44,1
21,45,blank
21,46,0
21,47,0
21,48,0
22,0,blank
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,blank
22,12,blank
22,13,1
22,14,1
22,15,1
22,16,1
22,17,1
22,18,overlay
22,19,1
22,20,overlay
22,21,1
22,22,overlay
22,23,1
22,24,0
22,25,1
22,26,1
22,27,1
22,28,1
22,29,1
22,30,1
22,31,1
22,32,1
22,33,0
22,34,0
22,35,0
22,36,0
22,37,0
22,38,0
22,39,0
22,40,0
22,41,1
22,42,1
22,43,1
22,44,0
22,45,0
22,46,0
22,47,blank
22,48,0
23,0,0
23,1,0
23,2,blank
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,1
23,14,1
23,15,1
23,16,1
23,17,1
23,18,overlay
23,19,1
23,20,overlay
23,21,1
23,22,overlay
23,23,1
23,24,0
23,25,1
23,26,1
23,27,1
23,28,1
23,29,1
23,30,1
23,31,1
23,32,1
23,33,0
23,34,0
23,35,0
23,36,0
23,37,0
23,38,0
23,39,1
23,40,1
23,41,blank
23,42,blank
23,43,blank
23,44,blank
23,45,0
23,46,0
23,47,0
23,48,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,blank
24,14,blank
24,15,1
24,16,1
24,17,1
24,18,overlay
24,19,1
24,20,overlay
24,21,overlay
24,22,overlay
24,23,1
24,24,0
24,25,1
24,26,1
24,27,1
24,28,1
24,29,1
24,30,1
24,31,1
24,32,1
24,33,0
24,34,0
24,35,0
24,36,0
24,37,0
24,38,0
24,39,0
24,40,0
24,41,1
24,42,1
24,43,blank
24,44,blank
24,45,0
24,46,0
24,47,0
24,48,0
25,0,0
25,1,blank
25,2,blank
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0
25,12,0
25,13,0
25,14,0
25,15,1
25,16,1
25,17,1
25,18,overlay
25,19,1
25,20,overlay
25,21,1
25,22,overlay
25,23,1
25,24,0
25,25,1
25,26,blank
25,27,1
25,28,1
25,29,1
25,30,1
25,31,1
25,32,1
25,33,0
25,34,0
25,35,0
25,36,0
25,37,0
25,38,0
25,39,0
25,40,blank
25,41,blank
25,42,0
25,43,blank
25,44,blank
25,45,0
25,46,0
25,47,0
25,48,blank
26,0,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
26,15,1
26,16,1
26,17,1
26,18,overlay
26,19,1
26,20,overlay
26,21,1
26,22,overlay
26,23,1
26,24,0
26,25,1
26,26,1
26,27,1
26,28,1
26,29,1
26,30,1
26,31,1
26,32,0
26,33,0
26,34,0
26,35,0
26,36,0
26,37,0
26,38,0
26,39,0
26,40,1
26,41,1
26,42,1
26,43,0
26,44,0
26,45,0
26,46,0
26,47,0
26,48,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,0
27,15,1
27,16,blank
27,17,overlay
27,18,overlay
27,19,overlay
27,20,overlay
27,21,overlay
27,22,overlay
27,23,1
27,24,0
27,25,1
27,26,1
27,27,1
27,28,1
27,29,blank
27,30,blank
27,31,1
27,32,0
27,33,0
27,34,0
27,35,0
27,36,0
27,37,0
27,38,0
27,39,0
27,40,1
27,41,1
27,42,1
27,43,0
27,44,blank
27,45,0
27,46,0
27,47,0
27,48,0
28,0,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,1
28,16,1
28,17,1
28,18,overlay
28,19,1
28,20,overlay
28,21,1
28,22,overlay
28,23,1
28,24,0
28,25,1
28,26,1
28,27,1
28,28,1
28,29,1
28,30,1
28,31,1
28,32,0
28,33,0
28,34,0
28,35,0
28,36,0
28,37,0
28,38,0
28,39,0
28,40,1
28,41,1
28,42,1
28,43,1
28,44,0
28,45,0
28,46,0
28,47,0
28,48,0
29,0,0
29,1,blank
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
29,14,0
29,15,1
29,16,1
29,17,1
29,18,overlay
29,19,1
29,20,overlay
29,21,1
29,22,overlay
29,23,1
29,24,0
29,25,1
29,26,1
29,27,1
29,28,1
29,29,1
29,30,1
29,31,1
29,32,1
29,33,0
29,34,0
29,35,0
29,36,0
29,37,0
29,38,0
29,39,0
29,40,1
29,41,0
29,42,0
29,43,1
29,44,blank
29,45,0
29,46,0
29,47,0
29,48,0
30,0,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
30,10,0
30,11,0
30,12,0
30,13,0
30,14,1
30,15,1
30,16,1
30,17,1
30,18,overlay
30,19,overlay
30,20,overlay
30,21,1
30,22,overlay
30,23,1
30,24,0
30,25,overlay
30,26,blank
30,27,1
30,28,1
30,29,0
30,30,overlay
30,31,1
30,32,1
30,33,0
30,34,0
30,35,0
30,36,0
30,37,0
30,38,0
30,39,blank
30,40,0
30,41,1
30,42,1
30,43,0
30,44,0
30,45,0
30,46,0
30,47,0
30,48,0
31,0,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
31,10,0
31,11,0
31,12,0
31,13,1
31,14,1
31,15,1
31,16,1
31,17,1
31,18,0
31,19,1
31,20,overlay
31,21,1
31,22,overlay
31,23,1
31,24,0
31,25,1
31,26,1
31,27,1
31,28,1
31,29,1
31,30,1
31,31,1
31,32,1
31,33,0
31,34,blank
31,35,0
31,36,0
31,37,0
31,38,0
31,39,0
31,40,1
31,41,1
31,42,1
31,43,1
31,44,0
31,45,0
31,46,0
31,47,0
31,48,0
32,0,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,1
32,13,1
32,14,1
32,15,1
32,16,1
32,17,1
32,18,overlay
32,19,1
32,20,overlay
32,21,1
32,22,overlay
32,23,1
32,24,0
32,25,1
32,26,1
32,27,1
32,28,1
32,29,1
32,30,1
32,31,1
32,32,1
32,33,0
32,34,1
32,35,0
32,36,0
32,37,0
32,38,0
32,39,0
32,40,1
32,41,1
32,42,1
32,43,0
32,44,0
32,45,0
32,46,0
32,47,0
32,48,0
33,0,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
33,8,0
33,9,0
33,10,0
33,11,blank
33,12,1
33,13,1
33,14,1
33,15,1
33,16,1
33,17,1
33,18,0
33,19,1
33,20,overlay
33,21,overlay
33,22,overlay
33,23,1
33,24,0
33,25,1
33,26,0
33,27,1
33,28,1
33,29,blank
33,30,blank
33,31,1
33,32,1
33,33,0
33,34,1
33,35,0
33,36,0
33,37,0
33,38,0
33,39,blank
33,40,1
33,41,1
33,42,1
33,43,1
33,44,0
33,45,0
33,46,0
33,47,0
33,48,0
34,0,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
34,8,0
34,9,0
34,10,1
34,11,1
34,12,1
34,13,1
34,14,1
34,15,1
34,16,1
34,17,1
34,18,0
34,19,1
34,20,overlay
34,21,1
34,22,overlay
34,23,1
34,24,0
34,25,1
